data,url,score,lcp_ms,cls,tbt_ms,fcp_ms,crux_lcp_ms
2026-07-11,https://goiania.roilabs.com.br/,92,2711,0.047,42,2711,
2026-07-11,https://goiania.roilabs.com.br/porcelanato/,48,5341,1.027,93,3402,
2026-07-11,https://goiania.roilabs.com.br/porcelanato/porcelanato-amadeirado/,44,5881,1,48,3339,
2026-07-11,https://goiania.roilabs.com.br/porcelanato/produto/porcelanato-20x120-carvalho-natural/,87,3413,0.002,50,2708,
2026-07-11,https://goiania.roilabs.com.br/calculadora/,67,5813,0,128,3453,
2026-07-11,https://goiania.roilabs.com.br/,70,5793,0.077,53,3330,
2026-07-11,https://goiania.roilabs.com.br/porcelanato/,67,5864,0,116,3466,
2026-07-11,https://goiania.roilabs.com.br/porcelanato/porcelanato-amadeirado/,68,5908,0,70,3389,
2026-07-11,https://goiania.roilabs.com.br/porcelanato/produto/porcelanato-20x120-carvalho-natural/,83,4020,0.002,57,2766,
2026-07-11,https://goiania.roilabs.com.br/calculadora/,63,5979,0,250,3581,
